Brand,Model Name,Color,Display Size,Resolution,Operating System,Processor,Storage,RAM,Expandable Storage,Primary Camera,Secondary Camera,Connectivity,In Box
APPLE,iPhone 14,Starlight,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 16,"A15 Bionic Chip, 6 Core Processor",128 GB,4 GB,MicroSD,12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G","Handset, USB-C to Lightning Cable, Documentation"
MOTOROLA,e13,Cosmic Black,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 13 (Go Edition),Unisoc T606,64 GB,4 GB,MicroSD,13MP Rear Camera,"5MP Front Camera Setup: (f/2.2 Aperture, 1.12um Pixel Size), Camera Feature: Portrait, Photo, Face Beauty, Auto Smile Capture, HDR, Leveler, Mirror, Assistive Grid, Watermark, Timer, Video Feature: Video, Timelapse, Snap in Video Recording","4G, 3G, 2G","Handset, 10W Charger, USB Type-C Cable, Guides, Sim Tool, Transparent Protective Case"
POCO,C50,Country Green,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",32 GB,2 GB,MicroSD,8MP Dual Camera,5 MP Camera Setup,"4G VOLTE, 4G, 3G, 2G","Handset, 10W Travel Adapter, USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
POCO,C55,Forest Green,17.04 cm (6.71 inch),1650 x 720 Pixels,Android 12,Mediatek Helio G85,128 GB,6 GB,MicroSD,50MP Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse","4G VOLTE, 4G, 3G, 2G","Handset, 10W Charger, Micro USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
POCO,M4 Pro 5G,Yellow,16.76 cm (6.6 inch),2400 x 1080 Pixels,Android 11,Mediatek Dimensity 810,64 GB,4 GB,MicroSD,50MP + 8MP,"16MP Camera Setup: (f/2.45 Aperture, Pixel Size: 1.0um), Camera Feature: HDR, AI Portrait Mode, Screen Flash, Selfie Timer, Portrait Selfies, Palm Shutter","5G, 4G, 3G, 2G","Handset, 33W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
realme,10 Pro 5G,Nebula Blue,17.07 cm (6.72 inch),2400 x 1080 Pixel,Android 13,Qualcomm Snapdragon 695 5G,128 GB,6 GB,MicroSD,108MP + 2MP,"16MP Camera Setup: (Samsung S5K3P9, f/2.45 Aperture, FOV: 82.3 Degree, CMOS, 1/3.1 inch Sensor Size, 1.0um Pixel Size, 5P Lens, Fixed Focus), EIS, Camera Feature: Night Scene Mode, Photo Mode, Portrait Mode, Panorama Mode","5G, 4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, TPU Case"
POCO,M4 Pro 5G,Cool Blue,16.76 cm (6.6 inch),2400 x 1080 Pixels,Android 11,Mediatek Dimensity 810,128 GB,8 GB,MicroSD,50MP + 8MP,"16MP Camera Setup: (f/2.45 Aperture, Pixel Size: 1.0um), Camera Feature: HDR, AI Portrait Mode, Screen Flash, Selfie Timer, Portrait Selfies, Palm Shutter","5G, 4G, 3G, 2G","Handset, 33W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
MOTOROLA,g52,Metallic White,16.76 cm (6.6 inch),2460 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,128 GB,6 GB,Hybrid Slot,50MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, 1um Pixel Size), Camera Feature: Portrait Mode, Group Selfie, Spot Color, Shot Optimization, Auto Smile Capture, Gesture Capture, Timer, Video Feature: Snap in Video Recording, Cinemagraph (MP4 only)",Yes,"Handset, Charger, USB Cable, Guides, Back Protective Case, Sim Tool"
POCO,M4 5G,Yellow,16.71 cm (6.58 inch),2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,64 GB,4 GB,MicroSD,50MP + 2MP,"8MP Camera Setup: (f/2.45 Aperture, 1.0um Pixel Size), Camera Feature: Portrait, HDR, Timed Burst, AI Beauty Mode, AI Filters, Movie Frame, Palm Shutter","5G, 4G, 3G, 2G","Handset, 22.5 W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
realme,10 Pro 5G,Nebula Blue,17.07 cm (6.72 inch),2400 x 1080 Pixel,Android 13,Qualcomm Snapdragon 695 5G,128 GB,8 GB,MicroSD,108MP + 2MP,"16MP Camera Setup: (Samsung S5K3P9, f/2.45 Aperture, FOV: 82.3 Degree, CMOS, 1/3.1 inch Sensor Size, 1.0um Pixel Size, 5P Lens, Fixed Focus), EIS, Camera Feature: Night Scene Mode, Photo Mode, Portrait Mode, Panorama Mode","5G, 4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, TPU Case"
MOTOROLA,g72,Meteorite Grey,16.64 cm (6.55 inch),2460 x 1080 Pixels,Android 12,Mediatek Helio G99,128 GB,6 GB,MicroSD,108MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, 1um Pixel Size), Camera Feature: Portrait Mode, Group Selfie, Spot Color, Shot Optimization, Auto Smile Capture, Gesture Capture, Timer, Video Feature: Snap in Video Recording","4G, 3G, 2G","Handset, 33W Turbopower Charger, USB Type-C Cable, Guides, Sim Tool, Protective Cover"
POCO,C50,Royal Blue,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",32 GB,3 GB,MicroSD,8MP Dual Camera,5 MP Camera Setup,"4G VOLTE, 4G, 3G, 2G","Handset, 10W Travel Adapter, USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
MOTOROLA,G32,Mineral Gray,16.64 cm (6.55 inch),2400 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,64 GB,4 GB,Dedicated Slot,50MP + 8MP + 2MP,"16MP Camera Setup: (f/2.2 Aperture, 1.0um Pixel Size, Quad Pixel technology for 2.0um), Camera Feature: Screen Flash, Auto HDR, Timer, Face Beauty, Auto Smile Capture, Cinemagraph, Portrait Mode, Group Selfie, Spot Color, Live Filter, Active Photos, Gesture Selfie, Video Feature: Dual Capture, Spot Color, Timelapse (W/Hyperlapse), Face Beauty, Video Snapshot, Efficient Videos","4G, 3G, 2G","Handset, Charger, USB Cable, Guides, Sim Tool"
realme,C55,Rainy Night,17.07 cm (6.72 inch),2400 x 1080 Pixels,Android 13,Helio G88,128 GB,8 GB,MicroSD,64MP + 2MP,"8MP Front Camera Setup: (SmartSens SC800CS, f/2.0 Aperture, FOV: 78.1 Degree, 1/4 inch Sensor Size, 1.12um Pixel SIze, 5P Lens, CMOS, Fixed Focus), Camera Feature: Photo, Beauty, Filter, Night Mode, Panoramic View, Portrait Mode, HDR, AI Scene Recognition","2G, 3G, 4G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, Case"
realme,C55,Sunshower,17.07 cm (6.72 inch),2400 x 1080 Pixels,Android 13,Helio G88,128 GB,8 GB,MicroSD,64MP + 2MP,"8MP Front Camera Setup: (SmartSens SC800CS, f/2.0 Aperture, FOV: 78.1 Degree, 1/4 inch Sensor Size, 1.12um Pixel SIze, 5P Lens, CMOS, Fixed Focus), Camera Feature: Photo, Beauty, Filter, Night Mode, Panoramic View, Portrait Mode, HDR, AI Scene Recognition","2G, 3G, 4G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, Case"
realme,C55,Sunshower,17.07 cm (6.72 inch),2400 x 1080 Pixels,Android 13,Helio G88,64 GB,6 GB,MicroSD,64MP + 2MP,"8MP Front Camera Setup: (SmartSens SC800CS, f/2.0 Aperture, FOV: 78.1 Degree, 1/4 inch Sensor Size, 1.12um Pixel SIze, 5P Lens, CMOS, Fixed Focus), Camera Feature: Photo, Beauty, Filter, Night Mode, Panoramic View, Portrait Mode, HDR, AI Scene Recognition","2G, 3G, 4G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, Case"
realme,C55,Rainy Night,17.07 cm (6.72 inch),2400 x 1080 Pixels,Android 13,Helio G88,64 GB,6 GB,MicroSD,64MP + 2MP,"8MP Front Camera Setup: (SmartSens SC800CS, f/2.0 Aperture, FOV: 78.1 Degree, 1/4 inch Sensor Size, 1.12um Pixel SIze, 5P Lens, CMOS, Fixed Focus), Camera Feature: Photo, Beauty, Filter, Night Mode, Panoramic View, Portrait Mode, HDR, AI Scene Recognition","2G, 3G, 4G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, Case"
realme,C55,Sunshower,17.07 cm (6.72 inch),2400 x 1080 Pixels,Android 13,Helio G88,64 GB,4 GB,MicroSD,64MP + 2MP,"8MP Front Camera Setup: (SmartSens SC800CS, f/2.0 Aperture, FOV: 78.1 Degree, 1/4 inch Sensor Size, 1.12um Pixel SIze, 5P Lens, CMOS, Fixed Focus), Camera Feature: Photo, Beauty, Filter, Night Mode, Panoramic View, Portrait Mode, HDR, AI Scene Recognition","2G, 3G, 4G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, Case"
realme,C55,Rainy Night,17.07 cm (6.72 inch),2400 x 1080 Pixels,Android 13,Helio G88,64 GB,4 GB,MicroSD,64MP + 2MP,"8MP Front Camera Setup: (SmartSens SC800CS, f/2.0 Aperture, FOV: 78.1 Degree, 1/4 inch Sensor Size, 1.12um Pixel SIze, 5P Lens, CMOS, Fixed Focus), Camera Feature: Photo, Beauty, Filter, Night Mode, Panoramic View, Portrait Mode, HDR, AI Scene Recognition","2G, 3G, 4G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, Case"
REDMI,A1,Black,16.56 cm (6.52 inch),1080 x 1920 pixels,Android,2.2 MHz,32 GB,2 GB,MicroSD,Primary Camera,"8MP Front Camera Setup: (SmartSens SC800CS, f/2.0 Aperture, FOV: 78.1 Degree, 1/4 inch Sensor Size, 1.12um Pixel SIze, 5P Lens, CMOS, Fixed Focus), Camera Feature: Photo, Beauty, Filter, Night Mode, Panoramic View, Portrait Mode, HDR, AI Scene Recognition",5000 mAh,"Handset, Power Adapter, Micro USB Cable, SIM Insertion Tool, Warranty Card, User Guide"
SAMSUNG,Galaxy F13,Sunrise Copper,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Exynos 850,64 GB,4 GB,MIcroSD,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G","Handset, Travel Adapter, Data Cable (A to C), Ejection Pin, Quick Start Guide"
MOTOROLA,e13,Creamy White,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 13 (Go Edition),Unisoc T606,64 GB,4 GB,MicroSD,13MP Rear Camera,"5MP Front Camera Setup: (f/2.2 Aperture, 1.12um Pixel Size), Camera Feature: Portrait, Photo, Face Beauty, Auto Smile Capture, HDR, Leveler, Mirror, Assistive Grid, Watermark, Timer, Video Feature: Video, Timelapse, Snap in Video Recording","4G, 3G, 2G","Handset, 10W Charger, USB Type-C Cable, Guides, Sim Tool, Transparent Protective Case"
SAMSUNG,Galaxy F14 5G,B.A.E. Purple,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 13,"Exynos 1330, Octa Core",128 GB,4 GB,MicroSD,50MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 5G","Handset, Type-C Data Cable, Quick Start Guide, Sim Ejection Pin"
REDMI,10,Pacific Blue,17.02 cm (6.7 inch),1650 x 720 Pixels,Android 11,Qualcomm Snapdragon 680,64 GB,4 GB,Dedicated Slot,50MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Type C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
POCO,M4 Pro,Yellow,16.33 cm (6.43 inch),2400 x 1080 Pixels,Android 11,Mediatek Helio G96,128 GB,6 GB,MicroSD,64MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, Pixel Size: 1.0um), Camera Feature: HDR, AI Portrait Mode, Screen Flash, Selfie Timer, Portrait Selfies, Palm shutter","4G, 3G, 2G","Handset, 33W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
MOTOROLA,g72,Polar Blue,16.64 cm (6.55 inch),2460 x 1080 Pixels,Android 12,Mediatek Helio G99,128 GB,6 GB,MicroSD,108MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, 1um Pixel Size), Camera Feature: Portrait Mode, Group Selfie, Spot Color, Shot Optimization, Auto Smile Capture, Gesture Capture, Timer, Video Feature: Snap in Video Recording","4G, 3G, 2G","Handset, 33W Turbopower Charger, USB Type-C Cable, Guides, Sim Tool, Protective Cover"
REDMI,A1,Light Blue,16.56 cm (6.52 inch),1080 x 1920 pixels,Android,2.2 GHz,32 GB,2 GB,MicroSD,Primary Camera,"16MP Camera Setup: (f/2.45 Aperture, 1um Pixel Size), Camera Feature: Portrait Mode, Group Selfie, Spot Color, Shot Optimization, Auto Smile Capture, Gesture Capture, Timer, Video Feature: Snap in Video Recording",5000 mAh,"Handset, Power Adapter, Micro USB Cable, SIM Insertion Tool, Warranty Card, User Guide"
realme,10 Pro 5G,Dark Matter,17.07 cm (6.72 inch),2400 x 1080 Pixel,Android 13,Qualcomm Snapdragon 695 5G,128 GB,8 GB,MicroSD,108MP + 2MP,"16MP Camera Setup: (Samsung S5K3P9, f/2.45 Aperture, FOV: 82.3 Degree, CMOS, 1/3.1 inch Sensor Size, 1.0um Pixel Size, 5P Lens, Fixed Focus), EIS, Camera Feature: Night Scene Mode, Photo Mode, Portrait Mode, Panorama Mode","5G, 4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, TPU Case"
POCO,C50,Country Green,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",32 GB,3 GB,MicroSD,8MP Dual Camera,5 MP Camera Setup,"4G VOLTE, 4G, 3G, 2G","Handset, 10W Travel Adapter, USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
Realme,C30,Bamboo Green,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,2 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
APPLE,C30,Bamboo Green,"iPhone, USB-C to Lightning Cable, Documentation",MHDA3HN/A,15.49 cm (6.1 inch),1792 x 828 Pixels,iOS 14.2,A13 Bionic Chip,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR",Yes,"Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
realme,10 Pro 5G,Hyperspace,17.07 cm (6.72 inch),2400 x 1080 Pixel,Android 13,Qualcomm Snapdragon 695 5G,128 GB,6 GB,MicroSD,108MP + 2MP,"16MP Camera Setup: (Samsung S5K3P9, f/2.45 Aperture, FOV: 82.3 Degree, CMOS, 1/3.1 inch Sensor Size, 1.0um Pixel Size, 5P Lens, Fixed Focus), EIS, Camera Feature: Night Scene Mode, Photo Mode, Portrait Mode, Panorama Mode","5G, 4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, TPU Case"
realme,10 Pro 5G,Dark Matter,17.07 cm (6.72 inch),2400 x 1080 Pixel,Android 13,Qualcomm Snapdragon 695 5G,128 GB,6 GB,MicroSD,108MP + 2MP,"16MP Camera Setup: (Samsung S5K3P9, f/2.45 Aperture, FOV: 82.3 Degree, CMOS, 1/3.1 inch Sensor Size, 1.0um Pixel Size, 5P Lens, Fixed Focus), EIS, Camera Feature: Night Scene Mode, Photo Mode, Portrait Mode, Panorama Mode","5G, 4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool, Screen Protect Film, TPU Case"
REDMI,10,Shadow Black,17.02 cm (6.7 inch),1650 x 720 Pixels,Android 11,Qualcomm Snapdragon 680,64 GB,4 GB,Dedicated Slot,50MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Type C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
APPLE,10,Shadow Black,"iPhone, USB-C to Lightning Cable, Documentation",MHDH3HN/A,15.49 cm (6.1 inch),1792 x 828 Pixels,iOS 14.2,A13 Bionic Chip,Dedicated Slot,50MP + 2MP,5MP Front Camera,Yes,"Handset, Adapter, USB Type C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
REDMI,A1,Light Green,16.56 cm (6.52 inch),1080 x 1920 Pixels,Android,2.2 GHz,32 GB,2 GB,Dedicated Slot,Primary Camera,5MP Front Camera,5000 mAh,"Handset, Power Adapter, Micro USB Cable, SIM Insertion Tool, Warranty Card, User Guide"
SAMSUNG,Galaxy F23 5G,Forest Green,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 750G,128 GB,6 GB,1 TB,50MP + 8MP + 2MP,8MP Camera Setup Ultra wide camera,"5G, 4G, 3G, 2G","Handset, Data Cable (USB Type C-to-C), Sim Ejection Pin, Quick Start Guide"
MOTOROLA,G62 5G,Frosted Blue,16.64 cm (6.55 inch),2400 x 1080 Pixels,Android 12,Qualcomm Snapdragon 695 5G,128 GB,8 GB,Hybrid Slot,50MP + 8MP + 2MP,"16MP Camera Setup: Camera Feature: Camera Feature: Dual Capture, Spot Color, Night Vision, Cinemograph, Portrait, Live Filter, Group Selfie, Pro Mode (W/ Long Exposure), Artificial Intelligence: Low Light AI Selfie, Shot Optimization, Auto Smile Capture, Gesture Capture, Other Features: Selfie Animation, Face Beauty, RAW Photo Output, HDR, Timer, Active Photos, Assistive Grid, Leveler, Watermark, Burst Shot, Video Feature: Dual Capture, Spot Color, Timelapse (W/ Hyperlapse), Slow Motion, Other Features: Video Stabilization, Face Beauty, Video Snapshot","5G, 4G, 3G, 2G","Handset, Charger, USB Cable, Guides, Sim Tool, Protective Cover"
MOTOROLA,g22,Cosmic Black,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 12,Mediatek Helio G37,64 GB,4 GB,Dedicated Slot,50MP + 8MP + 2MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, 1.0um Pixel Size), Camera Feature: Portrait, Photo, Video, Pro Mode, Dual Capture, Night Vision, Face Beauty, Leveler, Assistive Grid, Watermark, HDR, Timer, Mirror, Video Feature: Snap in Video Recording","4G, 3G, 2G","Handset, TurboPower 20W Charger, USB Cable, Guides, Sim Tool"
SAMSUNG,Galaxy F13,Waterfall Blue,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Exynos 850,128 GB,4 GB,MIcroSD,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G","Handset, Travel Adapter, Data Cable (A to C), Ejection Pin, Quick Start Guide"
MOTOROLA,g73 5G,Midnight Blue,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android 13,Mediatek Dimensity 930,128 GB,8 GB,MicroSD,50MP + 8MP,"16MP Front Sensor Camera: (f/2.4 Aperture, 1.0um/2.0um Ultra Pixel), Camera Feature: Timer, Selfie Animation, RAW Photo Output, HDR, Assistive Grid, Leveler, Selfie Photo Mirror, Watermark, Burst Shot, Tap Anywhere to Capture, Video Feature: Dual Capture, Spot Color, Timelapse (W/ Hyperlapse), Face Beauty, Video Snapshot, Efficient Videos","2G, 3G, 4G, 5G","Handset, Charger, USB Cable, Guides, Sim Tool, Protective Cover"
Infinix,Hot 12,7° Purple,17.32 cm (6.82 inch),1640 x 720 Pixels,Android 11,Meditek Helio G37,64 GB,4 GB,Dedicated Slot,50 MP + 2 MP Depth Lens + AI Lens,"8MP AI Camera Setup: (f/2.0 Aperture), Camera Feature: AI Portrait, AI 3D Face Beauty, WideSelfie, AR Shots, Full HD Video Recording, Timelapse","4G, 3G, 2G","Handset, Adaptor, Micro USB Cable, Sim Ejector Pin, Back Cover, Quick Start Guide, Warranty Card"
REDMI,10,Midnight Black,17.02 cm (6.7 inch),1650 x 720 Pixels,Android 11,Qualcomm Snapdragon 680,128 GB,6 GB,Dedicated Slot,50MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Type C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
POCO,M4 Pro 5G,Yellow,16.76 cm (6.6 inch),2400 x 1080 Pixels,Android 11,Mediatek Dimensity 810,128 GB,6 GB,MicroSD,50MP + 8MP,"16MP Camera Setup: (f/2.45 Aperture, Pixel Size: 1.0um), Camera Feature: HDR, AI Portrait Mode, Screen Flash, Selfie Timer, Portrait Selfies, Palm Shutter","5G, 4G, 3G, 2G","Handset, 33W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
SAMSUNG,Galaxy F23 5G,Aqua Blue,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 750G,128 GB,6 GB,1 TB,50MP + 8MP + 2MP,8MP Camera Setup Ultra wide camera,"5G, 4G, 3G, 2G","Handset, Data Cable (USB Type C-to-C), Sim Ejection Pin, Quick Start Guide"
Infinix,Hot 12,Turquoise Cyan,17.32 cm (6.82 inch),1640 x 720 Pixels,Android 11,Meditek Helio G37,64 GB,4 GB,Dedicated Slot,50 MP + 2 MP Depth Lens + AI Lens,"8MP AI Camera Setup: (f/2.0 Aperture), Camera Feature: AI Portrait, AI 3D Face Beauty, WideSelfie, AR Shots, Full HD Video Recording, Timelapse","4G, 3G, 2G","Handset, Adaptor, Micro USB Cable, Sim Ejector Pin, Back Cover, Quick Start Guide, Warranty Card"
SAMSUNG,Galaxy M33 5G,Mystique Green,16.74 cm (6.59 inch),1080x2400 Pixels,Android 12,Octa Core,128 GB,6 GB,Dedicated Slot,Primary Camera,"8MP AI Camera Setup: (f/2.0 Aperture), Camera Feature: AI Portrait, AI 3D Face Beauty, WideSelfie, AR Shots, Full HD Video Recording, Timelapse",6000 mAh,"Handset, Ejection Pin,Data Cable,Quick Start Guide"
Infinix,Smart 6 HD,Origin Blue,16.76 cm (6.6 inch),1600 x720 Pixels,Android 11,Mediatek Helio A22,32 GB,2 GB,MicroSD,8MP Rear Camera,"5MP AI (f/2.0 Aperture), Camera Feature: Timelapse, Video Recording, Auto Scene Detection, Beauty, Portrait, HDR, WideSelfie","4G, 3G, 2G","Handset, Adaptor, USB Cable, Sim Ejection Pin, Back Cover, User Manual, Warranty Card"
Infinix,Smart 6 HD,Force Black,16.76 cm (6.6 inch),1600 x720,Android 11,Mediatek Helio A22,32 GB,2 GB,MicroSD,8MP Rear Camera,"5MP AI (f/2.0 Aperture), Camera Feature: Timelapse, Video Recording, Auto Scene Detection, Beauty, Portrait, HDR, WideSelfie","4G, 3G, 2G","Handset, Adaptor, USB Cable, Sim Ejection Pin, Back Cover, User Manual, Warranty Card"
Infinix,Smart 6 HD,Aqua Sky,16.76 cm (6.6 inch),1600 x720 Pixels,Android 11,Mediatek Helio A22,32 GB,2 GB,MicroSD,8MP Rear Camera,"5MP AI (f/2.0 Aperture), Camera Feature: Timelapse, Video Recording, Auto Scene Detection, Beauty, Portrait, HDR, WideSelfie","4G, 3G, 2G","Handset, Adaptor, USB Cable, Sim Ejection Pin, Back Cover, User Manual, Warranty Card"
SAMSUNG,Galaxy F13,Nightsky Green,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Exynos 850,128 GB,4 GB,MIcroSD,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G","Handset, Travel Adapter, Data Cable (A to C), Ejection Pin, Quick Start Guide"
SAMSUNG,Galaxy F13,Sunrise Copper,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Exynos 850,128 GB,4 GB,MIcroSD,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G","Handset, Travel Adapter, Data Cable (A to C), Ejection Pin, Quick Start Guide"
MOTOROLA,g22,Cosmic Black,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 12,Mediatek Helio G37,64 GB,4 GB,Dedicated Slot,50MP + 8MP + 2MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, 1.0um Pixel Size), Camera Feature: Portrait, Photo, Video, Pro Mode, Dual Capture, Night Vision, Face Beauty, Leveler, Assistive Grid, Watermark, HDR, Timer, Mirror, Video Feature: Snap in Video Recording","4G, 3G, 2G","Handset, TurboPower 20W Charger, USB Cable, Guides, Sim Tool"
Infinix,HOT 20 Play,Racing Black,17.32 cm (6.82 inch),720 X 1640 Pixels,Android 12,MediaTek G37,64 GB,4 GB,MicroSD,13Mp + AI Lens,"8MP AI (f 2.0) with LED Flash, Front Camera Modes: AI Portrait, Face Beauty, WideSelfie, AR Shots, Time Lapse Video","4G, 3G, 2G","Handset, Adaptor, USB Type-C Cable, TPU Case, SIM Ejector Pin, Quick Start Guide, Warranty Card, Xclub Card"
Infinix,HOT 20 Play,Aurora Green,17.32 cm (6.82 inch),720 X 1640,Android 12,MediaTek G37,64 GB,4 GB,MicroSD,13Mp + AI Lens,"8MP AI (f 2.0) with LED Flash, Front Camera Modes: AI Portrait, Face Beauty, WideSelfie, AR Shots, Time Lapse Video","4G, 3G, 2G","Handset, Adaptor, USB Type-C Cable, TPU Case, SIM Ejector Pin, Quick Start Guide, Warranty Card, Xclub Card"
Infinix,HOT 20 Play,Luna Blue,17.32 cm (6.82 inch),720 X 1640 Pixels,Android 12,MediaTek G37,64 GB,4 GB,MicroSD,13Mp + AI Lens,"8MP AI (f 2.0) with LED Flash, Front Camera Modes: AI Portrait, Face Beauty, WideSelfie, AR Shots, Time Lapse Video","4G, 3G, 2G","Handset, Adaptor, USB Type-C Cable, TPU Case, SIM Ejector Pin, Quick Start Guide, Warranty Card, Xclub Card"
REDMI,10,Midnight Black,17.02 cm (6.7 inch),1650 x 720 Pixels,Android 11,Qualcomm Snapdragon 680,64 GB,4 GB,Dedicated Slot,50MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Type C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
