Brand,Name,Rating,Price,RAM,ROM,Expandable Storage,Screen Size (inch),Screen Size (cm),Rear Cam,Selfie Cam,Battery,Processor,Image Link
Nokia,105,4.2,"1,299",32,32,,1.77,4.5,0,,800,SC6531E Processor,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/mobile/k/b/o/-original-imagch26hyzhgn9v.jpeg?q=70
realme,C30,4.2,"5,999",2,32,1,6.5,16.51,8,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/f/6/a/-original-imagfggrbywzk8r6.jpeg?q=70
realme,C30,4.2,"5,999",2,32,1,6.5,16.51,8,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/4/8/h/-original-imagfggrvjdqsrtx.jpeg?q=70
realme,C30,4.2,"5,999",2,32,1,6.5,16.51,8,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/p/h/p/-original-imagfggryyzyvhgw.jpeg?q=70
realme,C55,4.5,"13,999",8,128,1,6.72,17.07,64,8,5000,Helio G88 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/y/7/-original-imagzbs5gjxey4wy.jpeg?q=70
realme,C55,4.4,"11,999",6,64,1,6.72,17.07,64,8,5000,Helio G88 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/z/7/-original-imagzbs5yww8gwjw.jpeg?q=70
realme,C55,4.4,"10,999",4,64,1,6.72,17.07,64,8,5000,Helio G88 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/y/7/-original-imagzbs5gjxey4wy.jpeg?q=70
realme,C55,4.4,"10,999",4,64,1,6.72,17.07,64,8,5000,Helio G88 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/z/7/-original-imagzbs5yww8gwjw.jpeg?q=70
MOTOROLA,e13,4,"7,749",4,64,1,6.5,16.51,13,5,5000,Unisoc T606 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
POCO,C55,4.2,"9,999",6,128,1,6.71,17.04,50,5,5000,Mediatek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
MOTOROLA,G32,4.1,"11,999",8,128,,6.55,16.64,50,16,5000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/m/4/-original-imagnvvws9fmzgtb.jpeg?q=70
REDMI,10,4.3,"9,999",4,64,1,6.7,17.02,50,5,6000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/q/e/-original-imagk4nz6xgtexam.jpeg?q=70
realme,C30,4.1,"6,999",3,32,1,6.5,16.51,8,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/f/6/a/-original-imagfggrbywzk8r6.jpeg?q=70
