Phone name,Rating,Number of ratings,RAM,Storage,Display,Camera,Battery,Processor
"vivo T1X (Space Blue, 64 GB)",4.5,"75,082 Ratings",4 GB RAM ,64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
"vivo T1 Pro 5G (Turbo Black, 128 GB)",4.4,"7,755 Ratings",6 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor
"REDMI 10A (Charcoal Black, 32 GB)",4.1,"1,690 Ratings",3 GB RAM ,32 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,5000 mAh Battery,12 months
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.3,"1,50,714 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"vivo T1X (Gravity Black, 128 GB)",4.5,"75,082 Ratings",4 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
"vivo T1X (Gravity Black, 64 GB)",4.5,"75,082 Ratings",4 GB RAM ,64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
"OPPO K10 (Black Carbon, 128 GB)",4.4,"1,01,011 Ratings",6 GB RAM ,128 GB ROM,16.74 cm (6.59 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor
"MOTOROLA g31 (Baby Blue, 128 GB)",4.2,"13,116 Ratings",6 GB RAM ,128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh LiPo Battery,Mediatek Helio G85 Processor
"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",4.1,"3,830 Ratings",8 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 5G Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.4,"1,64,651 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor
"vivo T1 5G (Starlight Black, 128 GB)",4.3,"62,631 Ratings",4 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor
"vivo T1 5G (Starlight Black, 128 GB)",4.4,"1,64,651 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor
"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",4.2,"6,456 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 5G Processor
"POCO X4 Pro 5G (Laser Blue, 64 GB)",4.2,"69,671 Ratings",6 GB RAM ,64 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"MOTOROLA g52 (Metallic White, 64 GB)",4.2,"9,114 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"MOTOROLA g72 (Meteorite Grey, 128 GB)",4.1,"8,949 Ratings",6 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio G99 Processor
"realme 9i 5G (Rocking Black, 64 GB)",4.5,"39,391 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
"POCO M4 Pro 5G (Cool Blue, 128 GB)",4.3,"46,322 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
"POCO M4 Pro (Yellow, 128 GB)",4.3,"13,540 Ratings",8 GB RAM ,128 GB ROM,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"realme 10 (Rush Black, 128 GB)",4.3,400 Ratings,8 GB RAM ,128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Helio G99 Octa Core Processor
"vivo T1X (Space Blue, 128 GB)",4.4,"3,840 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
"vivo T1X (Space Blue, 128 GB)",4.5,"75,082 Ratings",4 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
"REDMI 9 Activ (Coral Green, 128 GB)",4.2,"4,865 Ratings",6 GB RAM ,128 GB ROM,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G35 Processor
"realme C35 (Glowing Black, 128 GB)",4.2,"14,012 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor
"POCO M4 Pro 5G (Yellow, 64 GB)",4.3,"37,804 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
"OPPO K10 5G (Ocean Blue, 128 GB)",4.4,"56,932 Ratings",8 GB RAM ,128 GB ROM,16.66 cm (6.56 inch) HD+ Display,48MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 810 Processor
"REDMI 10 (Midnight Black, 128 GB)",4.2,"23,884 Ratings",6 GB RAM ,128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"realme 9i 5G (Metallica Gold, 64 GB)",4.5,"39,391 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
"realme 9i 5G (Soulful Blue, 64 GB)",4.5,"39,391 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
"realme Narzo 50 (Speed Black, 128 GB)",4.4,"7,478 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G96 Processor
"realme Narzo 50 (Speed Blue, 128 GB)",4.4,"7,478 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G96 Processor
"MOTOROLA g22 (Iceberg Blue, 64 GB)",3.7,"28,250 Ratings",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Helio G37 Processor
SAMSUNG GURU MUSIC 2,4.1,"3,228 Ratings",8 MB RAM ,0 GB ROM |,5.08 cm (2 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery,0 0 0 208MHz Processor
"realme 10 Pro 5G (Hyperspace, 128 GB)",4.4,"7,235 Ratings",6 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 5G Processor
"realme 10 Pro 5G (Dark Matter, 128 GB)",4.4,"7,235 Ratings",6 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 5G Processor
"realme 10 Pro 5G (Nebula Blue, 128 GB)",4.4,"5,047 Ratings",8 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 5G Processor
"realme 10 Pro 5G (Nebula Blue, 128 GB)",4.4,"7,235 Ratings",6 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 5G Processor
itel It2171,4.1,"3,827 Ratings",32 MB RAM ,32 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,1000 mAh Battery,"100 Days Replacement Warranty, 1 year warranty for Handset & 6 Months Warranty for Accessories"
"REDMI 10 Prime (Astral White, 128 GB)",4.2,"11,574 Ratings",6 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) Full HD Display,50MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,Helio G88 Processor
"REDMI 10 Prime (Phantom Black, 128 GB)",4.2,"11,574 Ratings",6 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) Full HD Display,50MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,Helio G88 Processor
Nokia 150 DS 2020,4.1,"20,732 Ratings",4 MB RAM ,4 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1020 mAh Lithium-ion Battery,MediaTek Processor
"REDMI 10A (Charcoal Black, 32 GB)",4.1,"1,690 Ratings",3 GB RAM ,32 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,5000 mAh Battery,12 months
Nokia 150 TA-1235 DS,4.1,"12,215 Ratings",4 MB RAM ,4 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1020 mAh Lithium-ion Battery,MediaTek Processor
"APPLE iPhone 13 (Blue, 128 GB)",4.7,"1,86,839 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"REDMI Note 10S (Frost White, 64 GB)",4.4,"83,724 Ratings",6 GB RAM ,64 GB ROM,16.33 cm (6.43 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-Ploymer Battery,Mediatek Helio G95 Processor
"MOTOROLA g72 (Polar Blue, 128 GB)",4.1,"8,949 Ratings",6 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio G99 Processor
"REDMI Note 11 (Space Black, 64 GB)",4.2,462 Ratings,6 GB RAM ,64 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,5000 mAh Battery,12 Months Warranty
"REDMI Note 11 (Starburst White, 64 GB)",4.2,462 Ratings,6 GB RAM ,64 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,5000 mAh Battery,12 Months Warranty
"REDMI Note 11 (Space Black, 128 GB)",4.2,462 Ratings,6 GB RAM ,128 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,5000 mAh Battery,12 months
"REDMI Note 11 (Horizon Blue, 64 GB)",4.2,462 Ratings,6 GB RAM ,64 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories
SAMSUNG Guru Music 2,4.3,"1,97,943 Ratings",NA RO,NA ROM,5.08 cm (2 inch) NA Display,800 mAh Battery,0 0 0 208MHz Processor,1 Year Manufacturer Warranty
"REDMI 9i (Midnight Black, 64 GB)",4.3,"5,76,863 Ratings",4 GB RAM ,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G25 Processor
"APPLE iPhone 11 (Black, 128 GB)",4.6,"1,81,870 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"realme C30 (Denim Black, 32 GB)",4.3,"77,788 Ratings",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"realme C30 (Bamboo Green, 32 GB)",4.3,"77,788 Ratings",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.3,"15,869 Ratings",8 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor
"vivo T1 5G (Starlight Black, 128 GB)",4.3,"15,869 Ratings",8 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor
"POCO M4 5G (Yellow, 128 GB)",4.2,"25,240 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"APPLE iPhone 11 (White, 64 GB)",4.6,"1,81,870 Ratings",64 GB RO,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"APPLE iPhone 14 Plus (Midnight, 128 GB)",4.7,"3,008 Ratings",128 GB RO,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Infinix Note 12 5G (Snowfall, 64 GB)",4.2,"13,368 Ratings",6 GB RAM ,64 GB ROM,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP Depth Lens + AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Dimensity 810 5G Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"Infinix Note 12 5G (Force Black, 64 GB)",4.2,"13,368 Ratings",6 GB RAM ,64 GB ROM,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP Depth Lens + AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Dimensity 810 5G Processor
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.2,"35,089 Ratings",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"APPLE iPhone 13 (Midnight, 128 GB)",4.7,"1,86,839 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"APPLE iPhone 14 Plus (Purple, 128 GB)",4.7,"3,008 Ratings",128 GB RO,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme C11 2021 (Cool Blue, 32 GB)",4.4,"2,34,108 Ratings",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor
"realme C11 2021 (Cool Grey, 32 GB)",4.4,"2,34,108 Ratings",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",4.1,"37,026 Ratings",3 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)",4.1,"37,026 Ratings",3 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)",4.1,"37,026 Ratings",3 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"Infinix HOT 20 5G (Blaster Green, 64 GB)",4.3,"1,975 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 810 Processor
"REDMI 10 (Pacific Blue, 128 GB)",4.2,"23,884 Ratings",6 GB RAM ,128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"Infinix Note 12 Pro 5G (Snowfall, 128 GB)",4.1,"18,128 Ratings",8 GB RAM ,128 GB ROM,17.02 cm (6.7 inch) Full HD+ AMOLED Display,108MP + 2MP (Depth) + 2MP (Macro) | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Dimensity 810 5G Processor
"Infinix Note 12 Pro 5G (Force Black, 128 GB)",4.1,"18,128 Ratings",8 GB RAM ,128 GB ROM,17.02 cm (6.7 inch) Full HD+ AMOLED Display,108MP + 2MP (Depth) + 2MP (Macro) | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Dimensity 810 5G Processor
Nokia 105 TA-1416 DS,4.1,"4,669 Ratings",32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery,SC6531E Processor
"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)",4.3,"2,670 Ratings",8 GB RAM ,256 GB ROM,16.94 cm (6.67 inch) Full HD Display,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor
"vivo Y02 (Cosmic Grey, 32 GB)",4.4,105 Ratings,3 GB RAM ,32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek P22 Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"MOTOROLA e40 (Pink Clay, 64 GB)",4.1,"67,178 Ratings",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,UNISOC T700 Processor
Kechaoda K115,4.1,"29,045 Ratings",32 MB RAM ,32 MB ROM,3.66 cm (1.44 inch) QVGA Display,0.3MP Rear Camera,850 mAh Battery,6 Months
"realme C11 2021 (Cool Grey, 64 GB)",4.3,"2,06,182 Ratings",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor
SAMSUNG Guru Music 2 SM-B315E,4.2,"9,232 Ratings",Expandable Upto 16 G,Expandable,5.08 cm (2 inch) QVGA Display,0MP Front Camera,800 mAh Battery,0 0 0 208MHz Processor
SAMSUNG Guru Music 2,4.3,"1,97,943 Ratings",NA ROM ,Expandable,5.08 cm (2 inch) QVGA Display,0MP Front Camera,800 mAh Li-Ion Battery,NA 0 Single Core 208MHz Processor
"vivo T1 Pro 5G (Turbo Black, 128 GB)",4.4,"15,609 Ratings",8 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor
"vivo T1 Pro 5G (Turbo Black, 128 GB)",4.4,"7,755 Ratings",6 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",4.4,"7,755 Ratings",6 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor
"REDMI 11 Prime 5G (Chrome Silver, 64 GB)",4.3,"1,098 Ratings",4 GB RAM ,64 GB ROM,16.71 cm (6.58 inch) Display,5MP Rear Camera,5000 mAh Battery,1 Year Warranty
"POCO M4 5G (Yellow, 128 GB)",4.2,"25,240 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"POCO M4 Pro 5G (Yellow, 128 GB)",4.2,"11,205 Ratings",8 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
Kechaoda K115,4.1,"29,045 Ratings",32 MB RAM ,32 MB ROM,3.66 cm (1.44 inch) QVGA Display,0.3MP Rear Camera,850 mAh Battery,6 Months
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",4.5,"4,587 Ratings",8 GB RAM ,128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
"vivo T1X (Gravity Black, 64 GB)",4.5,"75,082 Ratings",4 GB RAM ,64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
"realme C11 2021 (Cool Grey, 64 GB)",4.3,"2,06,182 Ratings",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.2,"35,089 Ratings",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"REDMI 9 Activ (Carbon Black, 128 GB)",4.2,"4,865 Ratings",6 GB RAM ,128 GB ROM,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G35 Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"APPLE iPhone 12 (White, 128 GB)",4.6,"1,86,537 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
SAMSUNG Guru Music 2,4.3,"1,97,943 Ratings",NA ROM ,Expandable,5.08 cm (2 inch) QVGA Display,0MP Front Camera,800 mAh Li-Ion Battery,NA 0 Single Core 208MHz Processor
"APPLE iPhone 14 (Midnight, 256 GB)",4.7,"11,289 Ratings",256 GB RO,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
Micromax X512,3.8,66 Ratings,32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,1750 mAh Battery,1 Year Warranty
Nokia 105 PLUS,4.1,"6,630 Ratings",4 MB RAM ,4 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,1000 mAh Lithium Ion Battery,MTK6261D Processor
Nokia 105 PLUS,4.1,"6,630 Ratings",4 MB RAM ,4 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,1000 mAh Lithium Ion Battery,MTK6261D Processor
itel Muzik 400,4.2,"3,113 Ratings",4 MB RAM ,4 MB ROM |,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,3000 mAh Battery,ARM9 architecture (Single core) Processor
