Index,Link
1,/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFEKXH4XM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGMXSWJHRVUWFE.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/motorola-e13-aurora-green-64-gb/p/itm3042ad3770a18?pid=MOBGKHNBA55HDSZR&lid=LSTMOBGKHNBA55HDSZRHOAFME&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGKHNBA55HDSZR.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/samsung-galaxy-f14-5g-goat-green-128-gb/p/itm538a06ee7dc98?pid=MOBGNBFN6EZTDAPU&lid=LSTMOBGNBFN6EZTDAPU7HAR6Q&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGNBFN6EZTDAPU.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/poco-m4-5g-power-black-64-gb/p/itmdca739218a8a0?pid=MOBGDRGPZTSHNQ5H&lid=LSTMOBGDRGPZTSHNQ5HK2U5VI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGDRGPZTSHNQ5H.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/poco-m4-5g-cool-blue-64-gb/p/itm7b27dd2f5da7e?pid=MOBGDRGPD6YGVHXZ&lid=LSTMOBGDRGPD6YGVHXZXRTTHJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGDRGPD6YGVHXZ.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB99HTRS1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMAZGXKU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/nokia-105-ss/p/itm020c5e527f4d3?pid=MOBGC96FRD7DB2R7&lid=LSTMOBGC96FRD7DB2R7JBURME&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGC96FRD7DB2R7.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
2,/samsung-galaxy-f04-jade-purple-64-gb/p/itm0934dc56a1df7?pid=MOBGKY2VTP3XETBR&lid=LSTMOBGKY2VTP3XETBRJKXEIM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGKY2VTP3XETBR.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/samsung-galaxy-f13-waterfall-blue-64-gb/p/itm583ef432b2b0c?pid=MOBGENJWBPFYJSFT&lid=LSTMOBGENJWBPFYJSFTP8FGOC&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGENJWBPFYJSFT.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/oppo-a17k-blue-64-gb/p/itm3821c4535ee09?pid=MOBGMPHKV3T6YGMR&lid=LSTMOBGMPHKV3T6YGMRZNXOOD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGMPHKV3T6YGMR.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
